ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00037,3,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,80.0,00,UNIDAD,24,1.0,0.0,00,,,,,80.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,100.0,00,UNIDAD,24,1.0,80.0,00,15.0,00,1200.0,15.0,20.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00073,6,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,50.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00076,7,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,200.0,00,UNIDAD,24,1.0,100.0,00,15.0,00,1500.0,15.0,100.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00111,11,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,72.0,00,UNIDAD,24,1.0,0.0,00,,,,,72.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00156,14,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,100.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,100.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00307,00062,10,Completa,Sierra,Sierra Norte,74.60714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,150.0,00,KILOGRAMO,12,1.0,50.0,00,12.0,00,600.0,12.0,100.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00322,00044,5,Completa,Sierra,Sierra Norte,74.60714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,162.0,00,KILOGRAMO,12,1.0,100.0,00,12.0,00,1200.0,12.0,60.0,00,2.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00001,1,Completa,Sierra,Sierra Norte,87.04166666666667,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,18.0,00,KILOGRAMO,12,1.0,2.0,00,20.0,00,40.0,20.0,10.0,00,6.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00036,6,Completa,Sierra,Sierra Norte,87.04166666666667,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,180.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,180.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00052,8,Completa,Sierra,Sierra Norte,87.04166666666667,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,207.0,50,KILOGRAMO,12,1.0,192.0,50,10.0,00,1925.0,10.0,5.0,00,10.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00340,00021,3,Completa,Sierra,Sierra Norte,80.34615384615385,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,40.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,35.0,00,5.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00343,00075,7,Completa,Sierra,Sierra Norte,80.34615384615385,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,120.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,100.0,00,20.0,00,
2021.0,20,PIURA,02,AYABACA,07,PAIMAS,00368,00096,12,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,70.0,00,UNIDAD,24,0.5,0.0,00,,,,,70.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,07,PAIMAS,00372,00017,1,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,236.0,25,UNIDAD,24,1.0,0.0,00,,,,,200.0,00,36.0,25,
2021.0,20,PIURA,02,AYABACA,07,PAIMAS,00372,00155,13,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,12.0,00,UNIDAD,24,1.0,0.0,00,,,,,12.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00001,1,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,37.0,50,KILOGRAMO,12,1.0,0.0,00,,,,,37.0,50,0.0,00,
2021.0,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00020,4,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,43.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,43.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00040,7,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,175.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,175.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,08,SAPILLICA,00397,00061,10,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,125.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,125.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00021,2,Completa,Sierra,Sierra Norte,74.60714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,17.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,15.0,00,2.0,00,
2021.0,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00065,6,Completa,Sierra,Sierra Norte,74.60714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,20.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,20.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00075,7,Completa,Sierra,Sierra Norte,74.60714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,15.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,15.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00094,8,Completa,Sierra,Sierra Norte,74.60714285714285,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,10.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,10.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00003,1,Completa,Sierra,Sierra Norte,80.34615384615383,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,21.0,00,KILOGRAMO,12,1.0,3.0,00,10.0,00,30.0,10.0,18.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00024,4,Completa,Sierra,Sierra Norte,80.34615384615383,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,20.0,00,KILOGRAMO,12,1.0,1.0,00,10.0,00,10.0,10.0,19.0,00,0.0,00,
