ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00443,00122,12,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,1.0,50.0,00,18.0,00,900.0,18.0,0.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00443,00133,14,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,20.0,00,UNIDAD,24.0,1.0,10.0,00,18.0,00,180.0,18.0,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,02,FRIAS,00461,00022,3,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,288.0,00,KILOGRAMO,12.0,1.0,88.0,00,10.0,00,880.0,10.0,200.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00003,1,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,210.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,210.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00023,2,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,360.0,00,KILOGRAMO,12.0,1.0,300.0,00,20.0,00,6000.0,20.0,60.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00031,3,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,81.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,81.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00052,7,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,80.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,80.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00058,9,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,119.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,117.0,00,2.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00067,10,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,54.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,54.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00072,12,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,30.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,30.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00074,13,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,13.0,80,KILOGRAMO,12.0,1.0,3.0,80,10.0,00,38.0,10.0,10.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00486,00078,14,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,118.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,118.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00498,00018,2,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,200.0,00,KILOGRAMO,12.0,1.0,150.0,00,12.0,00,1800.0,12.0,50.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00498,00031,5,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,200.0,00,KILOGRAMO,12.0,1.0,160.0,00,10.0,00,1600.0,10.0,40.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00498,00035,6,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,20.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,20.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00498,00059,8,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,50.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00498,00071,10,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,30.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,30.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00498,00090,14,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,60.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,60.0,00,0.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00508,00034,4,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,100.0,00,KILOGRAMO,12.0,1.0,40.0,00,15.0,00,600.0,15.0,40.0,00,20.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00508,00037,5,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,1700.0,00,KILOGRAMO,12.0,1.0,1500.0,00,17.0,00,25500.0,17.0,150.0,00,50.0,00,
2022.0,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00508,00070,7,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,15.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,15.0,00,0.0,00,
