ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1228_N,P1228_NOM,P1228_TIPO,P1229,OMICAP1200_EQUIPO
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00136,14,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00141,15,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00045,1,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00047,2,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00057,3,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00059,4,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00061,5,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00063,6,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00064,7,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00070,8,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00071,9,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00072,10,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00075,11,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00077,12,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00079,13,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00096,14,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,02,ACHAYA,17175,00120,15,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,03,ARAPA,17194,00014,1,Completa,Sierra,Sierra Sur,174.34183673469389,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
